SWG,Frequency,Tension,Inharmonicity
27.0,440.0,95.30374448417872,1.7945218696363104e-06
28.0,440.0,77.48426973641378,1.1861945251175228e-06
29.0,440.0,65.23430571933459,8.407771800871005e-07
30.0,440.0,54.38247414409557,5.843146170879874e-07
31.0,440.0,47.69599206238264,4.494616061597508e-07
32.0,440.0,41.14707612841643,3.3450821419601944e-07
33.0,440.0,35.35943262162226,2.4702414340460926e-07
34.0,440.0,30.01024695625193,1.7793769693187851e-07
35.0,440.0,24.865492259445418,1.2215829127227514e-07
23.0,293.66,90.84096946576447,1.844759007652606e-05
24.0,293.66,76.28615151741884,1.3009707463332637e-05
25.0,293.66,63.001300575686756,8.873095354987083e-06
26.0,293.66,50.986416640568265,5.811457951638954e-06
27.0,293.66,42.451613381973445,4.028696205165034e-06
28.0,293.66,34.51419752537469,2.6630031446186895e-06
29.0,293.66,29.057636094229014,1.8875422429333444e-06
30.0,293.66,24.223851639990542,1.311784559617497e-06
31.0,293.66,21.24545919849007,1.0090399552891192e-06
32.0,293.66,18.328343519515553,7.509699357418006e-07
33.0,293.66,15.750325143921689,5.545684596866927e-07
34.0,293.66,13.367611190721314,3.994695949459495e-07
35.0,293.66,11.075957924461889,2.7424499684576136e-07
